,Model,Dataset,Metric,Mean,Std
238,GraphSAGERegressor,german_t,MAE Gap,0.4124538490968073,0.0
239,MLPRegressor,german_t,MAE Gap,0.41944026947021484,0.0
240,FMP,nba_m,MAE Gap,0.13563563563563563,0.0
241,FairGNN,nba_m,MAE Gap,0.5603315234184265,0.0
242,FairRegGNN,nba_m,MAE Gap,0.07392174750566483,0.0
243,GATRegressor,nba_m,MAE Gap,0.16466466466466467,0.0
244,GCNRegressor,nba_m,MAE Gap,0.3183183183183183,0.0
245,GINRegressor,nba_m,MAE Gap,0.21508302933744353,0.0
246,GraphSAGERegressor,nba_m,MAE Gap,0.16616616616616617,0.0
247,MLPRegressor,nba_m,MAE Gap,0.16616616616616617,0.0
248,FMP,nba_p,MAE Gap,0.22853761911392212,0.0
249,FairGNN,nba_p,MAE Gap,0.14478351869811756,0.0
250,FairRegGNN,nba_p,MAE Gap,0.154676616191864,0.0
251,GATRegressor,nba_p,MAE Gap,0.17801318996180016,0.0
252,GCNRegressor,nba_p,MAE Gap,0.1919461488723755,0.0
253,GINRegressor,nba_p,MAE Gap,0.4379619359970093,0.0
254,GraphSAGERegressor,nba_p,MAE Gap,0.2905730605125427,0.0
255,MLPRegressor,nba_p,MAE Gap,0.20824255049228668,0.0
256,FMP,region_job_2_g,MAE Gap,0.031611553779448916,0.0
257,FairGNN,region_job_2_g,MAE Gap,1.0288209915161133,0.0
258,FairRegGNN,region_job_2_g,MAE Gap,0.02840195545132894,0.0
259,GATRegressor,region_job_2_g,MAE Gap,0.05174417785728134,0.0
260,GCNRegressor,region_job_2_g,MAE Gap,0.028038477726038086,0.0
261,GINRegressor,region_job_2_g,MAE Gap,0.04503059387207031,0.0
262,GraphSAGERegressor,region_job_2_g,MAE Gap,0.05151873826980591,0.0
263,MLPRegressor,region_job_2_g,MAE Gap,0.0533248707652092,0.0
264,FMP,region_job_2_r,MAE Gap,0.08663025976092172,0.0
265,FairGNN,region_job_2_r,MAE Gap,1.279786950926018,0.0
266,FairRegGNN,region_job_2_r,MAE Gap,0.04038050323761146,0.0
267,GATRegressor,region_job_2_r,MAE Gap,0.15339288909985668,0.0
268,GCNRegressor,region_job_2_r,MAE Gap,0.1461435758886894,0.0
269,GINRegressor,region_job_2_r,MAE Gap,0.1577284159167769,0.0
270,GraphSAGERegressor,region_job_2_r,MAE Gap,0.13855357468128204,0.0
271,MLPRegressor,region_job_2_r,MAE Gap,0.13019683957099915,0.0
272,FMP,region_job_g,MAE Gap,0.020537960247801024,0.0
273,FairGNN,region_job_g,MAE Gap,0.8425675630569458,0.0
274,FairRegGNN,region_job_g,MAE Gap,0.020623207092285156,0.0
275,GATRegressor,region_job_g,MAE Gap,0.03432094668008715,0.0
276,GCNRegressor,region_job_g,MAE Gap,0.025090760143571214,0.0
277,GINRegressor,region_job_g,MAE Gap,0.03380632400512695,0.0
278,GraphSAGERegressor,region_job_g,MAE Gap,0.02955019287765026,0.0
279,MLPRegressor,region_job_g,MAE Gap,0.03157140623573147,0.0
280,FMP,region_job_r,MAE Gap,0.046972541056638006,0.0
281,FairGNN,region_job_r,MAE Gap,1.0805469355065918,0.0
282,FairRegGNN,region_job_r,MAE Gap,0.03944781301282144,0.0
283,GATRegressor,region_job_r,MAE Gap,0.11170620278643333,0.0
284,GCNRegressor,region_job_r,MAE Gap,0.08199642964313807,0.0
285,GINRegressor,region_job_r,MAE Gap,0.09974380185883124,0.0
286,GraphSAGERegressor,region_job_r,MAE Gap,0.08182807266712189,0.0
287,MLPRegressor,region_job_r,MAE Gap,0.07769246399402618,0.0
288,FMP,german_e,MSE,0.05014662444591522,0.0
289,FairGNN,german_e,MSE,1.791666727513075e-05,0.0
290,FairRegGNN,german_e,MSE,0.0014835436595603824,0.0
291,GATRegressor,german_e,MSE,0.05718165636062622,0.0
292,GCNRegressor,german_e,MSE,0.014209449291229248,0.0
293,GINRegressor,german_e,MSE,0.08670079708099365,0.0
294,GraphSAGERegressor,german_e,MSE,0.0564541220664978,0.0
295,MLPRegressor,german_e,MSE,0.05102419853210449,0.0
296,FMP,german_f,MSE,0.029287654906511307,0.0
297,FairGNN,german_f,MSE,1.5257595805451274e-05,0.0
298,FairRegGNN,german_f,MSE,0.0006889770738780499,0.0
299,GATRegressor,german_f,MSE,0.0397571325302124,0.0
300,GCNRegressor,german_f,MSE,0.02567654848098755,0.0
301,GINRegressor,german_f,MSE,0.08039936941671046,0.0
302,GraphSAGERegressor,german_f,MSE,0.04639780521392822,0.0
303,MLPRegressor,german_f,MSE,0.05611294507980347,0.0
304,FMP,german_g,MSE,0.02654975652694702,0.0
305,FairGNN,german_g,MSE,1.9998988136649132e-05,0.0
306,FairRegGNN,german_g,MSE,0.0009872176451608539,0.0
307,GATRegressor,german_g,MSE,0.02414381504058838,0.0
308,GCNRegressor,german_g,MSE,0.041509151458740234,0.0
309,GINRegressor,german_g,MSE,0.15903043746948242,0.0
310,GraphSAGERegressor,german_g,MSE,0.020393967628479004,0.0
311,MLPRegressor,german_g,MSE,0.06479638814926147,0.0
312,FMP,german_h,MSE,0.028050407767295837,0.0
313,FairGNN,german_h,MSE,6.29021305940114e-05,0.0
314,FairRegGNN,german_h,MSE,0.002841242356225848,0.0
315,GATRegressor,german_h,MSE,0.00875215232372284,0.0
316,GCNRegressor,german_h,MSE,0.0214117169380188,0.0
317,GINRegressor,german_h,MSE,0.027681946754455566,0.0
318,GraphSAGERegressor,german_h,MSE,0.062444865703582764,0.0
319,MLPRegressor,german_h,MSE,0.04250948131084442,0.0
320,FMP,german_s,MSE,0.02850192040205002,0.0
321,FairGNN,german_s,MSE,6.174460577312857e-05,0.0
322,FairRegGNN,german_s,MSE,0.0014444803819060326,0.0
323,GATRegressor,german_s,MSE,0.007567644119262695,0.0
324,GCNRegressor,german_s,MSE,0.03295338153839111,0.0
325,GINRegressor,german_s,MSE,0.07766321301460266,0.0
326,GraphSAGERegressor,german_s,MSE,0.03932511806488037,0.0
327,MLPRegressor,german_s,MSE,0.05053669214248657,0.0
328,FMP,german_t,MSE,0.033065296709537506,0.0
329,FairGNN,german_t,MSE,7.526722038164735e-05,0.0
330,FairRegGNN,german_t,MSE,0.0023499089293181896,0.0
331,GATRegressor,german_t,MSE,0.019831858575344086,0.0
332,GCNRegressor,german_t,MSE,0.016222655773162842,0.0
333,GINRegressor,german_t,MSE,0.05424721539020538,0.0
334,GraphSAGERegressor,german_t,MSE,0.012584507465362549,0.0
335,MLPRegressor,german_t,MSE,0.023931682109832764,0.0
336,FMP,nba_m,MSE,0.011271476745605469,0.0
337,FairGNN,nba_m,MSE,0.18083296716213226,0.0
338,FairRegGNN,nba_m,MSE,0.004849337041378021,0.0
339,GATRegressor,nba_m,MSE,0.07529989629983902,0.0
340,GCNRegressor,nba_m,MSE,0.0029968619346618652,0.0
341,GINRegressor,nba_m,MSE,0.002416849136352539,0.0
342,GraphSAGERegressor,nba_m,MSE,0.012189388275146484,0.0
343,MLPRegressor,nba_m,MSE,0.013198889791965485,0.0
344,FMP,nba_p,MSE,0.05088131129741669,0.0
345,FairGNN,nba_p,MSE,0.023859471082687378,0.0
346,FairRegGNN,nba_p,MSE,0.012521868571639061,0.0
347,GATRegressor,nba_p,MSE,0.0016425028443336487,0.0
348,GCNRegressor,nba_p,MSE,0.07364055514335632,0.0
349,GINRegressor,nba_p,MSE,0.019185245037078857,0.0
350,GraphSAGERegressor,nba_p,MSE,0.08001706004142761,0.0
351,MLPRegressor,nba_p,MSE,0.0177779458463192,0.0
352,FMP,region_job_2_g,MSE,0.0005378425121307373,0.0
353,FairGNN,region_job_2_g,MSE,0.3495981362209285,0.0
354,FairRegGNN,region_job_2_g,MSE,0.0002740025520324707,0.0
355,GATRegressor,region_job_2_g,MSE,0.004883080720901489,0.0
356,GCNRegressor,region_job_2_g,MSE,0.005578517913818359,0.0
357,GINRegressor,region_job_2_g,MSE,0.0012525320053100586,0.0
358,GraphSAGERegressor,region_job_2_g,MSE,0.009298017248511314,0.0
359,MLPRegressor,region_job_2_g,MSE,0.01292422041296959,0.0
360,FMP,region_job_2_r,MSE,0.011570945382118225,0.0
361,FairGNN,region_job_2_r,MSE,0.46958398818969727,0.0
362,FairRegGNN,region_job_2_r,MSE,0.01986074447631836,0.0
363,GATRegressor,region_job_2_r,MSE,0.004246830940246582,0.0
