,Model,Dataset,MMD,RepBias,MeanDiff,MAE Gap,MSE Gap,Wasserstein,JS Divergence
59,MLPRegressor,german_t,,,0.41944027,0.06220326,0.06512505,0.4194402790344314,0.2982296617558831
60,EDITS,nba_m,,,11.5603895,2.850593,38.76147,11.560389659196431,0.544312542516288
61,FMP,nba_m,,,0.023247182,0.04726255,0.056727216,0.09261934898208242,0.43435335398670766
62,FairGNN,nba_m,0.030113935470581055,0.0,0.3887024,0.3081302,0.53854996,0.38870233441777613,0.7739208575103446
63,FairRegGNN,nba_m,0.015949130058288574,0.035590053269738124,0.020280428,0.042307116,0.04280922,0.07579497303310277,0.7765043202780709
64,GATRegressor,nba_m,,,0.0752999,0.16598164,0.20236166,0.15858782122323703,0.730309003523285
65,GCNRegressor,nba_m,,,0.15659772,0.15332437,0.37097964,0.2760419363306986,0.5718832205601156
66,GINRegressor,nba_m,,,0.1892609,0.03151688,0.08456966,0.21508337269062625,0.4190764507231667
67,GMMD,nba_m,,,0.26255208,0.15964782,0.30529243,0.3096943675009936,0.4666497616932837
68,GraphSAGERegressor,nba_m,,,0.15051918,0.09345627,0.16860789,0.16726351334145648,0.4530016760306516
69,MLPRegressor,nba_m,,,0.14855824,0.08038068,0.14490873,0.1719707242931958,0.43017932614900684
70,EDITS,nba_p,,,7.8654222,0.43845892,3.1407547,7.8654213052853486,0.5957302321829742
71,FMP,nba_p,,,0.050881326,0.107584,0.15652752,0.1681946732050903,0.6370232954389458
72,FairGNN,nba_p,0.006009340286254883,0.0,0.110627264,0.12351947,0.019865155,0.14478352015723683,0.6599573325348005
73,FairRegGNN,nba_p,0.014027595520019531,0.03443806534235601,0.023633484,0.007102348,2.920162e-05,0.03311490153356109,0.7263271597430134
74,GATRegressor,nba_p,,,0.17538482,0.0025014728,0.0029220805,0.17801320981867477,0.3930869621468875
75,GCNRegressor,nba_p,,,0.07364055,0.056962654,0.12814578,0.15816238730718712,0.733086130631361
76,GINRegressor,nba_p,,,0.19204463,0.29812402,0.4354518,0.40576483031431476,0.5044784234433459
77,GMMD,nba_p,,,0.32457417,0.10796726,0.187576,0.35020508093429614,0.4503085947566127
78,GraphSAGERegressor,nba_p,,,0.08045848,0.22197965,0.37025827,0.21861783339004567,0.40558863753373425
79,MLPRegressor,nba_p,,,0.01777793,0.17018133,0.29339996,0.17544532149183395,0.4254357715980221
80,FMP,region_job_2_g,,,0.025738943,0.004760772,0.00523676,0.02679912896191396,0.43972284925421484
81,FairGNN,region_job_2_g,0.007388472557067871,0.0,0.91247535,0.1404643,0.4490112,0.9124754375504015,0.7038000691232106
82,FairRegGNN,region_job_2_g,0.007256507873535156,0.008933231350231819,0.011852112,0.0028859377,0.0051769316,0.021516783211697733,0.17378166478901916
83,GATRegressor,region_job_2_g,,,0.04865104,0.0073962808,0.013450086,0.05174417610756645,0.20613267966971346
84,GCNRegressor,region_job_2_g,,,0.019977054,0.003793776,0.0061385036,0.02803847888996943,0.12031059527042076
85,GINRegressor,region_job_2_g,,,0.02324221,0.00623405,0.0012552142,0.028468189245362534,0.3178192998044507
86,GMMD,region_job_2_g,,,0.042132594,0.0067983866,0.017102122,0.04364767627137752,0.05066570549055335
87,GraphSAGERegressor,region_job_2_g,,,0.051518746,0.0124640465,0.027024984,0.0557772658173363,0.07628296641689741
88,MLPRegressor,region_job_2_g,,,0.053324867,0.009833157,0.022834122,0.055063999622263035,0.0417308808437292
